timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-07-22 11:47:53,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,1,1,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,6.0,0.0
2026-07-22 11:48:01,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,1,2,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,6.0,0.0
2026-07-22 11:48:09,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,1,3,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,4.0,0.0
2026-07-22 11:48:18,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,2,1,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,10.0,0.0
2026-07-22 11:48:26,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,2,2,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,11.0,0.0
2026-07-22 11:48:32,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,2,3,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,12.0,0.0
2026-07-22 11:48:40,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,3,1,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,12.0,0.0
2026-07-22 11:48:50,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,3,2,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,0.0,0.0
2026-07-22 11:48:56,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,3,3,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,12.0,0.0
2026-07-22 11:49:04,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,4,1,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,10.0,2.0
2026-07-22 11:49:13,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,4,2,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,11.0,0.0
2026-07-22 11:49:22,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,4,3,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,6.0,0.0
2026-07-22 11:49:26,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,4,4,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,0.0,5.0
2026-07-22 11:49:36,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,5,1,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,0.0,0.0
2026-07-22 11:49:46,L-MP17_m-glm-4-32b_sol1_gd1_rs0_bd1_str-mprigorous_t00_n1,5,2,1,zai-org/GLM-4-32B-0414,1,0,1,1,mprigorous,0.0,0.0,0.0
