timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-07-15 22:47:24,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,1,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-07-15 22:47:26,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,2,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-07-15 22:47:28,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,3,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-07-15 22:47:30,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,1,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-07-15 22:47:31,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,2,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-07-15 22:47:33,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,3,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-07-15 22:47:35,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,1,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-07-15 22:47:37,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,2,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-07-15 22:47:38,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,3,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-07-15 22:47:40,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,1,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-07-15 22:47:42,L-U01_m-llama-3.1-8b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,2,1,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
