timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-13 07:40:05,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,1,1,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:08,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,1,3,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:16,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,1,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:21,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,2,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:23,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,3,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:26,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,1,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:32,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,2,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:34,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,3,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:38,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,4,1,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-13 07:40:43,IA47_m-llama31-8b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,4,2,1,/ibex/user/shiekhmf/hf_cache/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659,1,0,1,0,mps2only,0.0,0.0,0.0
